RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,66,204,25,94,6,1,1,86,62,7,6,8,0,86,0,0,0,24,,1,1,1,100,0.16,True,False,75.0,8
Good,91,242,38,116,20,0,0,100,122,7,7,20,0,30,0,0,0,4,,3,2,0,50,0.16,False,False,100.0,10
Bad,71,243,8,84,15,0,0,94,62,7,6,16,1,25,35,1,1,56,,5,1,3,86,0.16,True,False,94.0,13
Good,81,274,1,87,36,0,0,100,122,7,7,37,2,27,0,3,3,3,87.0,2,4,0,43,0.16,False,False,97.0,15
Good,82,254,12,84,29,0,0,97,32,7,6,29,0,34,0,0,0,7,55.0,3,3,0,58,0.16,True,False,100.0,16
Bad,63,232,11,78,34,0,0,97,10,6,6,36,2,14,20,0,0,75,83.0,9,2,5,65,0.49019607843137253,True,True,94.0,23
Bad,71,86,3,31,22,0,0,100,122,7,7,22,8,45,0,3,2,64,91.0,3,6,1,75,0.16,False,False,100.0,16
Bad,83,254,9,96,27,1,1,96,72,7,4,28,1,18,0,1,1,10,33.0,6,2,0,60,0.16,True,False,96.0,16
Good,71,59,4,33,17,0,0,100,122,7,7,18,2,41,4,2,2,63,31.0,3,2,2,56,0.16,False,False,94.0,10
Bad,61,157,2,53,24,0,0,84,1,6,6,25,4,36,0,0,0,41,98.0,1,4,1,55,0.49019607843137253,True,True,96.0,13
Good,87,85,42,63,7,0,0,100,122,7,7,7,0,29,35,1,1,2,,2,1,0,100,0.16,False,False,100.0,7
Bad,52,195,3,66,20,2,2,75,1,6,2,24,7,29,8,0,0,88,65.0,6,3,3,90,0.49019607843137253,True,True,83.0,21
Bad,64,180,10,62,21,0,0,95,25,7,6,21,2,29,0,7,6,107,,2,1,2,75,0.16,True,False,100.0,15
Good,73,266,9,132,21,0,0,96,27,7,6,25,4,26,0,3,3,20,,2,2,0,45,0.16,True,False,84.0,11
Bad,88,438,9,122,20,0,0,100,122,7,7,20,1,50,0,1,1,1,,1,5,1,55,0.16,False,False,100.0,11
Bad,63,262,18,80,23,0,0,83,1,6,6,23,0,4,35,0,0,15,,9,1,2,83,0.49019607843137253,True,True,100.0,19
Bad,61,79,4,36,19,0,0,95,5,6,6,19,3,26,0,6,6,31,86.0,5,3,1,62,0.49019607843137253,True,True,100.0,11
Bad,68,207,2,86,30,0,0,94,2,6,6,57,3,16,35,2,2,19,51.0,3,2,0,36,0.49019607843137253,True,True,53.0,20
Good,69,187,5,53,24,0,0,100,122,7,7,24,4,33,14,0,0,51,98.0,6,3,3,60,0.16,False,False,100.0,14
Bad,80,224,2,67,39,0,0,95,14,7,6,40,2,15,0,2,2,2,37.0,4,3,0,39,0.16,True,False,98.0,15
Good,57,151,22,102,4,6,6,60,80,7,2,10,0,100,0,1,1,28,,3,1,1,100,0.16,True,False,40.0,10
Good,78,98,12,40,10,0,0,90,35,7,6,10,0,10,0,3,2,0,,0,2,0,0,0.16,True,False,100.0,0
Bad,66,188,8,70,22,1,1,92,8,6,4,25,1,52,0,0,0,76,73.0,5,4,4,90,0.49019607843137253,True,True,88.0,22
Good,80,162,4,61,39,0,0,98,74,7,6,45,4,12,8,0,0,11,,7,1,0,53,0.16,True,False,87.0,23
Bad,62,159,6,67,14,0,0,86,3,6,6,18,3,36,0,2,2,71,93.0,2,3,1,83,0.49019607843137253,True,True,78.0,14
Good,64,325,15,113,37,1,1,98,46,7,6,37,0,28,0,1,1,21,32.0,3,2,1,31,0.16,True,False,100.0,11
Good,80,149,3,52,16,0,0,100,122,7,7,16,2,63,0,1,1,26,83.0,1,4,0,83,0.16,False,False,100.0,13
Good,76,171,28,66,6,0,0,100,122,7,7,6,0,33,0,1,1,59,56.0,2,1,1,75,0.16,False,False,100.0,4
Good,80,148,3,103,16,0,0,100,122,7,7,16,1,75,3,1,1,47,51.0,1,6,1,88,0.16,False,False,100.0,14
Good,88,170,3,87,14,0,0,100,122,7,7,15,1,29,2,1,1,1,97.0,1,2,0,67,0.16,False,False,93.0,10
Bad,64,201,2,42,20,1,1,90,6,6,6,39,1,14,1,4,4,19,,7,2,2,56,0.49019607843137253,True,True,51.0,21
Good,77,126,8,61,25,0,0,92,42,7,6,25,4,12,7,0,0,9,100.0,7,2,0,63,0.16,True,False,100.0,15
Bad,85,186,7,72,6,0,0,100,122,7,7,6,1,33,0,3,3,17,46.0,1,2,0,75,0.16,False,False,100.0,4
Bad,59,243,11,79,38,1,1,76,7,6,6,43,1,50,0,1,1,63,78.0,7,4,4,86,0.49019607843137253,True,True,88.0,36
Bad,57,260,10,136,9,3,3,82,2,2,2,11,1,18,0,1,1,34,,1,1,0,50,0.49019607843137253,True,True,82.0,5
Good,74,89,5,49,23,0,0,96,42,7,6,23,2,43,5,0,0,13,83.0,3,4,1,64,0.16,True,False,100.0,14
Bad,64,92,3,35,21,2,2,91,33,7,6,24,5,23,0,1,1,9,58.0,3,4,0,53,0.16,True,False,88.0,12
Bad,60,439,12,185,17,0,0,74,11,6,6,19,0,21,0,2,2,80,77.0,6,1,4,80,0.49019607843137253,True,True,89.0,15
Bad,62,113,30,70,10,3,2,71,19,7,4,15,0,93,0,3,3,0,,0,1,0,50,0.16,True,False,67.0,7
Good,92,398,76,233,5,0,0,100,122,7,7,5,0,0,0,0,0,0,,0,2,1,0,0.16,False,False,100.0,0
Good,85,175,9,79,21,0,0,100,122,7,7,21,1,10,1,2,2,8,,1,1,0,25,0.16,False,False,100.0,5
Bad,71,227,7,81,24,1,0,80,3,5,5,25,3,8,0,1,1,4,89.0,2,2,0,33,0.49019607843137253,True,True,96.0,8
Bad,57,220,3,73,31,0,0,94,1,6,6,35,2,54,3,1,1,81,,7,1,3,80,0.49019607843137253,True,True,89.0,28
Bad,83,196,17,84,6,0,0,100,122,7,7,7,0,0,35,0,0,14,,4,2,1,100,0.16,False,False,86.0,7
Bad,54,266,5,99,54,0,0,96,11,6,6,56,2,43,2,3,3,58,67.0,12,6,3,69,0.49019607843137253,True,True,96.0,38
Good,88,140,10,85,9,0,0,100,122,7,7,9,1,0,35,0,0,1,,3,2,0,50,0.16,False,False,100.0,4
Good,83,154,4,57,13,0,0,93,62,7,6,14,1,43,0,0,0,4,80.0,1,4,1,45,0.16,True,False,93.0,6
Good,86,324,11,132,8,0,0,100,122,7,7,8,1,38,35,0,0,39,,1,2,0,33,0.16,False,False,100.0,2
Good,82,340,2,81,65,0,0,100,122,7,7,84,11,44,1,3,3,21,56.0,6,4,0,48,0.16,False,False,77.0,40
Bad,62,226,4,79,42,0,0,98,76,7,6,42,6,21,0,1,1,50,81.0,13,3,4,80,0.16,True,False,100.0,33
Bad,69,118,2,42,20,1,0,91,27,7,5,22,7,23,35,4,4,14,,4,1,0,55,0.16,True,False,91.0,12
Bad,73,46,1,21,7,0,0,100,122,7,7,8,2,50,35,1,1,17,77.0,2,2,0,83,0.16,False,False,88.0,6
Bad,70,117,3,65,29,0,0,100,122,7,7,29,4,34,0,0,0,69,94.0,8,3,5,71,0.16,False,False,100.0,20
Good,79,171,34,95,6,0,0,100,122,7,7,6,0,67,6,0,0,28,,3,1,1,100,0.16,False,False,100.0,6
Good,66,128,7,63,48,1,0,93,23,7,5,55,6,40,1,2,1,39,77.0,7,2,1,77,0.16,True,False,87.0,42
Good,77,373,7,91,32,0,0,97,56,7,6,32,1,22,0,0,0,26,,8,1,1,56,0.16,True,False,100.0,17
Bad,81,261,4,67,22,0,0,100,122,7,7,24,2,33,0,1,1,29,68.0,3,3,1,50,0.16,False,False,92.0,12
Good,88,496,95,184,12,0,0,100,122,7,7,12,0,25,0,0,0,5,,2,1,0,60,0.16,False,False,100.0,7
Good,86,442,2,106,20,0,0,100,122,7,7,21,1,33,0,0,0,5,47.0,2,1,1,43,0.16,False,False,95.0,9
Good,77,100,5,38,15,0,0,93,34,7,6,15,1,27,0,6,6,10,,3,1,0,57,0.16,True,False,100.0,8
Bad,68,142,1,72,55,0,0,100,122,7,7,67,8,45,1,2,2,58,81.0,9,4,5,59,0.16,False,False,82.0,39
Good,65,206,14,76,25,5,5,88,6,6,6,26,0,69,0,1,1,76,82.0,2,3,1,100,0.49019607843137253,True,True,96.0,26
Bad,74,193,1,91,19,0,0,100,122,7,7,22,2,18,35,1,1,90,79.0,6,2,4,73,0.16,False,False,86.0,16
Bad,56,184,2,113,19,6,1,56,4,5,2,27,1,22,0,1,1,50,,9,2,1,75,0.49019607843137253,True,True,70.0,20
Bad,66,172,10,90,44,0,0,100,122,7,7,48,1,38,35,2,1,65,85.0,12,2,8,82,0.16,False,False,92.0,39
Good,81,148,1,72,16,0,0,94,62,7,6,18,2,39,0,2,2,0,94.0,0,3,1,75,0.16,True,False,89.0,13
Good,78,130,4,64,22,0,0,100,122,7,7,22,1,18,35,5,5,10,,3,2,1,43,0.16,False,False,100.0,9
Bad,50,54,4,19,16,0,0,94,4,6,6,17,7,29,0,0,0,89,42.0,4,2,3,75,0.49019607843137253,True,True,94.0,12
Good,86,252,1,78,7,0,0,100,122,7,7,10,3,30,4,3,3,29,,1,2,0,50,0.16,False,False,70.0,5
Bad,75,169,7,45,27,0,0,100,122,7,7,29,1,21,15,0,0,36,43.0,6,3,1,53,0.16,False,False,93.0,15
Bad,77,229,3,109,23,0,0,100,122,7,7,23,2,35,0,0,0,38,93.0,4,3,1,58,0.16,False,False,100.0,13
Good,76,24,8,12,12,0,0,100,122,7,7,12,7,25,0,0,0,9,,2,2,0,50,0.16,False,False,100.0,6
Bad,73,246,1,79,26,0,0,100,122,7,7,29,6,26,0,1,1,50,,4,2,4,50,0.16,False,False,90.0,14
Good,76,280,12,77,25,0,0,100,122,7,7,25,0,40,0,0,0,17,42.0,2,4,1,50,0.16,False,False,100.0,12
Good,77,464,31,138,16,1,1,94,50,7,6,16,0,31,35,0,0,11,,3,2,0,71,0.16,True,False,100.0,11
Bad,63,276,12,47,26,4,3,83,9,3,3,64,0,40,35,3,3,15,83.0,1,6,1,64,0.49019607843137253,True,True,41.0,40
Bad,72,177,21,75,15,1,0,94,13,7,5,16,0,38,0,0,0,30,,5,1,1,86,0.16,True,False,94.0,13
Bad,68,104,5,44,22,2,2,92,11,6,2,24,5,21,0,1,1,36,,5,1,1,54,0.49019607843137253,True,True,92.0,12
Good,84,339,3,115,27,0,0,100,122,7,7,27,1,22,22,0,0,11,,2,1,0,23,0.16,False,False,100.0,6
Good,61,75,0,35,30,0,0,100,122,7,7,37,6,15,10,0,0,77,47.0,11,4,8,76,0.16,False,False,81.0,28
Bad,64,177,9,73,31,1,0,85,2,6,5,34,3,62,0,0,0,5,5.0,3,4,0,64,0.49019607843137253,True,True,91.0,21
Good,79,120,2,43,13,0,0,100,122,7,7,14,5,7,4,2,1,15,,4,2,0,44,0.16,False,False,93.0,6
Bad,72,257,8,69,20,0,0,100,122,7,7,20,1,45,0,0,0,74,55.0,3,4,2,88,0.16,False,False,100.0,17
Bad,76,212,14,87,21,0,0,100,122,7,7,21,0,33,35,0,0,40,85.0,7,2,0,90,0.16,False,False,100.0,18
Good,80,400,13,123,34,0,0,100,122,7,7,34,0,47,0,3,3,5,77.0,3,4,1,67,0.16,False,False,100.0,22
Good,81,297,40,117,4,0,0,100,122,7,7,5,0,40,0,0,0,28,,3,1,1,100,0.16,False,False,80.0,5
Bad,79,255,14,99,29,0,0,97,62,7,6,33,0,67,35,0,0,70,60.0,2,3,0,71,0.16,True,False,88.0,23
Bad,60,73,8,74,10,0,0,50,7,6,6,10,1,30,8,0,0,36,,2,2,1,29,0.49019607843137253,True,True,100.0,2
Bad,78,340,8,106,25,0,0,96,7,6,6,25,1,56,4,1,1,6,77.0,2,3,0,56,0.49019607843137253,True,True,100.0,14
Bad,61,61,10,41,9,0,0,80,62,7,6,10,1,50,35,2,2,80,95.0,4,3,1,100,0.16,True,False,90.0,10
Good,79,261,4,121,14,0,0,93,61,7,6,14,2,7,0,2,2,11,,2,2,0,50,0.16,True,False,100.0,7
Bad,75,117,7,54,13,1,1,86,13,7,4,15,2,21,4,4,2,0,46.0,2,3,1,83,0.16,True,False,87.0,12
Good,80,124,10,54,17,1,0,94,69,7,5,18,1,44,0,2,1,28,62.0,2,3,0,63,0.16,True,False,94.0,11
Bad,68,75,2,30,27,0,0,100,122,7,7,37,6,17,5,0,0,30,65.0,13,4,0,67,0.16,False,False,73.0,24
Good,77,345,5,108,23,0,0,91,54,7,6,28,2,22,0,1,1,35,,3,1,1,36,0.16,True,False,82.0,10
Good,76,284,7,92,13,1,1,93,66,7,3,15,1,43,4,1,1,27,20.0,1,3,0,100,0.16,True,False,87.0,15
Bad,70,258,1,71,19,2,1,91,33,7,2,43,2,17,35,0,0,69,54.0,6,3,3,82,0.16,True,False,44.0,35
Bad,63,163,7,42,17,1,1,89,25,7,2,20,3,44,35,0,0,58,87.0,4,4,2,100,0.16,True,False,85.0,20
Bad,68,141,7,51,15,0,0,100,122,7,7,15,4,33,0,0,0,47,92.0,5,2,1,78,0.16,False,False,100.0,11
Good,70,272,1,77,28,0,0,100,122,7,7,29,5,28,0,3,3,63,90.0,1,2,1,31,0.16,False,False,97.0,8
Bad,67,110,7,46,33,1,1,97,9,6,4,38,1,26,35,1,1,41,23.0,9,2,2,87,0.49019607843137253,True,True,87.0,33
Good,65,259,4,121,4,2,0,29,39,7,5,7,2,29,0,1,1,100,98.0,1,1,1,100,0.16,True,False,57.0,7
Good,78,92,7,35,13,0,0,100,122,7,7,13,1,8,7,0,0,19,,5,1,0,55,0.16,False,False,100.0,7
Good,76,242,5,104,16,1,0,94,55,7,5,24,1,18,35,1,1,54,13.0,4,3,1,78,0.16,True,False,67.0,18
Bad,68,91,4,25,18,0,0,100,122,7,7,21,10,19,0,4,4,14,52.0,4,3,1,44,0.16,False,False,86.0,9
Bad,68,142,4,61,21,0,0,90,28,7,6,21,4,43,0,6,5,45,100.0,3,2,2,63,0.16,True,False,100.0,13
Bad,74,158,6,73,14,0,0,93,9,6,6,14,1,64,0,0,0,29,28.0,2,3,0,83,0.49019607843137253,True,True,100.0,11
Bad,64,212,2,61,33,1,0,87,11,6,5,39,7,49,35,10,10,0,100.0,1,5,0,50,0.49019607843137253,True,True,85.0,19
Good,81,199,4,94,36,0,0,100,122,7,7,36,2,53,0,4,4,9,11.0,2,7,0,50,0.16,False,False,100.0,18
Good,65,184,7,77,24,2,2,88,4,6,2,27,1,46,0,2,2,19,80.0,1,3,0,44,0.49019607843137253,True,True,89.0,11
Bad,62,250,2,91,15,2,2,72,7,6,2,33,1,44,35,0,0,62,,3,1,1,80,0.49019607843137253,True,True,45.0,26
Bad,82,130,10,64,22,0,0,95,8,6,6,22,1,9,9,0,0,2,52.0,5,2,0,50,0.49019607843137253,True,True,100.0,11
Bad,79,161,5,85,7,0,0,100,122,7,7,9,2,78,0,3,3,14,,2,1,0,100,0.16,False,False,78.0,9
Bad,58,163,6,101,20,3,1,71,16,7,5,24,2,29,2,4,4,86,,5,2,2,67,0.16,True,False,83.0,16
Bad,56,215,1,103,21,1,1,88,1,2,6,24,4,38,35,1,1,44,,6,1,3,78,0.49019607843137253,True,True,88.0,18
Bad,71,132,2,53,10,1,0,85,23,7,5,13,2,46,0,1,1,36,85.0,4,2,1,100,0.16,True,False,77.0,13
Bad,75,160,2,66,36,1,0,95,16,7,5,38,1,18,0,4,4,19,78.0,4,2,1,32,0.16,True,False,95.0,12
Good,84,128,3,48,23,0,0,100,122,7,7,23,3,30,0,1,1,14,99.0,4,3,0,64,0.16,False,False,100.0,14
Bad,63,243,1,80,13,1,0,75,4,6,5,16,3,50,0,2,2,14,,6,1,0,78,0.49019607843137253,True,True,81.0,12
Bad,86,169,6,82,5,0,0,100,122,7,7,5,1,60,0,1,1,24,75.0,1,3,0,100,0.16,False,False,100.0,5
Bad,83,210,3,74,24,0,0,100,122,7,7,24,3,29,0,3,3,11,87.0,2,2,0,40,0.16,False,False,100.0,9
Bad,74,150,3,88,21,1,1,88,7,6,2,24,1,25,35,1,1,1,,3,2,0,43,0.49019607843137253,True,True,88.0,10
Bad,68,184,1,18,7,0,0,100,122,7,7,8,4,38,35,9,7,37,,2,1,0,67,0.16,False,False,88.0,5
Good,79,209,29,100,22,0,0,100,122,7,7,22,0,36,0,0,0,56,38.0,4,2,2,60,0.16,False,False,100.0,13
Bad,57,474,20,140,10,4,3,54,5,6,5,13,0,31,35,0,0,15,81.0,5,1,2,78,0.49019607843137253,True,True,77.0,10
Bad,74,227,19,105,11,3,2,71,9,7,4,19,0,40,0,0,0,4,76.0,1,2,0,60,0.16,True,False,58.0,11
Bad,59,28,5,15,11,0,0,100,122,7,7,11,3,64,0,0,0,106,98.0,2,3,1,100,0.16,False,False,100.0,11
Good,75,191,3,71,25,0,0,100,122,7,7,26,4,42,10,0,0,66,86.0,6,2,1,73,0.16,False,False,96.0,18
Good,67,91,3,45,23,1,1,88,41,7,3,24,4,75,0,2,2,20,62.0,2,4,0,100,0.16,True,False,96.0,24
Bad,72,196,6,93,39,1,0,95,37,7,5,41,3,29,0,0,0,34,70.0,8,3,2,55,0.16,True,False,95.0,22
Bad,65,187,6,86,31,0,0,94,17,7,6,32,1,34,0,1,1,58,77.0,10,4,4,93,0.16,True,False,97.0,29
Good,83,217,1,73,34,0,0,100,122,7,7,39,2,21,1,1,1,7,48.0,6,2,1,57,0.16,False,False,87.0,22
Good,63,223,4,71,19,1,0,75,17,7,5,20,1,55,0,1,1,48,53.0,5,5,3,91,0.16,True,False,95.0,18
Bad,70,457,3,112,10,1,1,90,73,7,6,10,4,40,0,3,3,83,92.0,1,3,1,100,0.16,True,False,100.0,10
Good,75,116,2,61,41,0,0,100,122,7,7,42,1,17,0,2,1,34,,2,2,1,22,0.16,False,False,98.0,9
Good,63,189,11,68,22,1,0,91,34,7,5,23,1,43,0,0,0,74,,7,2,3,69,0.16,True,False,96.0,15
Good,82,401,10,161,13,0,0,93,3,6,6,14,3,14,0,0,0,5,,2,2,0,40,0.49019607843137253,True,True,93.0,5
Bad,77,324,7,76,31,0,0,100,122,7,7,31,5,35,1,3,3,0,65.0,0,2,0,33,0.16,False,False,100.0,10
Bad,57,257,7,81,11,5,3,40,7,3,3,15,1,40,0,1,1,11,,3,1,0,57,0.49019607843137253,True,True,73.0,8
Good,87,230,1,83,22,0,0,100,122,7,7,23,2,22,35,0,0,1,50.0,1,2,0,42,0.16,False,False,96.0,9
Good,77,311,11,103,39,0,0,98,62,7,6,42,1,36,0,0,0,46,73.0,5,4,1,69,0.16,True,False,93.0,28
Bad,64,119,10,52,21,1,0,95,9,5,5,22,3,55,35,0,0,68,67.0,4,4,3,90,0.49019607843137253,True,True,95.0,19
Bad,72,546,5,98,25,0,0,85,4,6,6,31,3,19,6,0,0,6,,4,1,0,43,0.49019607843137253,True,True,81.0,13
Good,88,469,5,106,18,0,0,100,122,7,7,18,3,26,0,0,0,14,,4,1,0,63,0.16,False,False,100.0,11
Good,70,214,3,80,52,0,0,96,62,7,6,52,3,35,0,5,5,13,17.0,10,3,2,62,0.16,True,False,100.0,32
Good,74,192,9,77,28,0,0,100,122,7,7,28,3,11,35,0,0,26,,5,1,1,60,0.16,False,False,100.0,16
Bad,65,166,6,78,16,0,0,78,13,7,6,18,1,56,0,0,0,51,3.0,3,2,1,83,0.16,True,False,89.0,14
Bad,68,263,13,99,28,0,0,93,29,7,6,34,0,23,2,1,1,68,82.0,12,3,5,88,0.16,True,False,82.0,29
Good,78,253,0,110,37,0,0,100,122,7,7,39,3,18,1,1,1,21,52.0,13,2,0,59,0.16,False,False,95.0,23
Bad,67,158,12,86,11,4,2,60,40,7,3,15,0,60,0,0,0,60,61.0,2,4,1,86,0.16,True,False,73.0,12
Bad,69,161,4,90,19,1,1,89,61,7,6,19,2,26,35,1,1,38,94.0,8,1,3,90,0.16,True,False,100.0,17
Bad,61,112,3,32,29,0,0,100,122,7,7,31,7,77,0,5,5,88,82.0,7,4,3,100,0.16,False,False,94.0,31
Bad,76,94,2,36,8,0,0,100,122,7,7,9,3,56,0,1,1,35,96.0,1,2,0,60,0.16,False,False,89.0,5
Bad,64,165,1,71,15,1,1,83,4,6,3,20,2,33,35,3,3,57,,4,1,2,45,0.49019607843137253,True,True,75.0,9
Good,76,93,3,52,35,0,0,100,122,7,7,35,4,40,2,3,3,12,98.0,5,4,0,60,0.16,False,False,100.0,21
Good,64,73,2,36,14,0,0,93,18,7,6,15,2,73,0,1,1,79,49.0,3,5,1,100,0.16,True,False,93.0,15
Good,70,126,5,49,49,0,0,100,122,7,7,49,10,29,1,2,2,46,78.0,6,3,2,56,0.16,False,False,100.0,27
Bad,83,282,3,65,22,0,0,95,17,7,6,22,3,55,0,1,1,0,71.0,0,4,0,57,0.16,True,False,100.0,12
Bad,63,176,16,80,23,1,1,76,6,2,2,25,0,64,0,0,0,57,48.0,3,4,1,88,0.49019607843137253,True,True,92.0,22
Good,83,193,9,94,24,0,0,100,122,7,7,24,1,42,35,0,0,34,47.0,2,5,0,80,0.16,False,False,100.0,19
Good,74,107,4,59,22,1,1,96,71,7,2,23,1,17,3,1,1,23,26.0,2,2,1,44,0.16,True,False,96.0,10
Bad,83,108,11,58,19,0,0,90,12,7,6,20,1,5,35,0,0,0,,2,1,0,50,0.16,True,False,95.0,10
Good,87,172,11,72,19,0,0,100,122,7,7,19,1,32,16,0,0,0,25.0,1,2,0,27,0.16,False,False,100.0,5
Good,88,300,12,110,19,0,0,100,122,7,7,19,0,42,11,0,0,7,,2,1,0,50,0.16,False,False,100.0,9
Good,66,74,15,43,13,0,0,100,122,7,7,14,0,23,35,0,0,68,64.0,5,1,3,75,0.16,False,False,93.0,10
Good,86,326,6,90,32,0,0,100,122,7,7,37,2,51,0,0,0,4,80.0,4,3,1,64,0.16,False,False,86.0,23
Bad,70,73,1,33,8,0,0,100,122,7,7,9,2,0,0,2,2,67,,5,2,2,83,0.16,False,False,89.0,7
Good,84,170,25,87,10,0,0,100,122,7,7,10,0,50,0,2,2,10,,2,2,0,67,0.16,False,False,100.0,6
Good,64,240,4,83,33,0,0,94,48,7,6,37,1,58,35,1,1,62,80.0,6,4,2,77,0.16,True,False,89.0,28
Good,68,152,12,71,44,1,1,96,21,7,2,48,0,21,35,0,0,14,16.0,5,2,0,64,0.16,True,False,92.0,30
